id_game,title,genre,price
127,Clone Drone in the Danger Zone(2021),Robots,$19.99
128,Left 4 Dead(2008),Zombies,$9.99
129,Eternal Senia(2015),Anime,Free
130,Everlasting Summer(2014),Visual Novel,Free
131,STEINS;GATE(2016),Visual Novel,$29.99
132,Unheard(2019),Detective,$6.99
133,CLANNAD(2004),Visual Novel,$44.99
134,Townscaper(2021),Building,$5.99
135,Word Game: Episode 0(2021),Minimalist,Free
136,Batman: Arkham City - Game of the Year Edition(2012),Action,$19.99
137,Gunpoint(2013),Stealth,$4.99
138,Stronghold Crusader HD(2002),Real Time Tactics,$9.99
139,Ultimate Chicken Horse(2016),Funny,$14.99
140,Before Your Eyes(2021),Narrative,$9.99
141,Human: Fall Flat(2016),Co-op,$19.99
142,Shadow Tactics: Blades of the Shogun(2016),Stealth,$39.99
143,Blade and Sorcery(2018),Action,$19.99
144,Mark of the Ninja(None),Stealth,$19.99
145,HuniePop(2015),Nudity,$9.99
146,DARK SOULS™ III(2016),Souls-like,$59.99
147,"Hot Dogs, Horseshoes & Hand Grenades(2016)",Simulation,$19.99
148,Webbed(2021),2D Platformer,$9.99
149,Danganronpa: Trigger Happy Havoc(2016),Anime,$19.99
150,Tales of the Black Forest(2019),RPG,$1.19
151,Muck(2021),Survival,Free
152,Gorogoa(2017),Puzzle,$14.99
153,Danganronpa 2: Goodbye Despair(2016),Anime,$19.99
154,Zup! S(2018),Casual,$0.99
155,Ultimate Custom Night(2018),Horror,Free
156,The Binding of Isaac(2011),Action Roguelike,$4.99
157,NEKOPARA Vol(2016),Anime,$9.99
158,Return of the Obra Dinn(2018),Detective,$19.99
159,Teardown(2020),Destruction,$19.99
160,Epic Battle Fantasy 5(2018),Funny,$19.99
161,Kerbal Space Program(2015),Space,$39.99
162,Psychonauts 2(2021),Story Rich,$35.99
163,Besiege(2020),Building,$14.99
164,SOMA(2015),Philosophical,$29.99
165,Touhou Tenkuushou ~ Hidden Star in Four Seasons(2017),Bullet Hell,$14.99
166,Milk inside a bag of milk inside a bag of milk(2020),Visual Novel,$0.49
167,LEGO® Star Wars™ - The Complete Saga(2009),LEGO,$19.99
168,NEKOPARA Vol(2017),Hentai,$9.99
169,The Walking Dead: Season Two(2013),Zombies,$14.99
170,Mirror 2: Project X(2022),Anime,$1.99
171,Post Void(2020),Psychedelic,$2.54
172,Noita(2020),Physics,$19.99
173,Virtual Cottage(2020),Relaxing,Free
174,Fran Bow(2015),Psychological Horror,$14.99
175,Doki Doki Literature Club Plus!(2021),Psychological Horror,$14.99
176,Titanfall® 2(2016),FPS,$29.99
177,My Friend Pedro(2019),Action,$19.99
178,Rabi-Ribi(2016),Anime,$17.99
179,Monster Train(2020),Card Battler,$24.99
180,Bastion(2011),Great Soundtrack,$14.99
181,Killing Floor(2009),FPS,$19.99
182,The Elder Scrolls IV: Oblivion® Game of the Year Edition(2007),RPG,$14.99
183,Far Away(2021),Singleplayer,$9.99
184,NEKOPARA Vol(2020),Shooter,$9.99
185,Yakuza: Like a Dragon(2020),RPG,$59.99
186,SuchArt: Creative Space(2021),Simulation,Free
187,Zup! F(2019),Casual,$0.99
188,The Test: Final Revelation(2020),Simulation,$1.59
189,Streets of Rogue(2019),Roguelite,$19.99
190,Kenshi(2018),Open World,$29.99
191,West of Loathing(2017),RPG,$10.99
